smiles_cano,MOLECULEID,Absorbance maximum wavelength,E_AgAgCl_V
[B-]1([N+]2=C(C=C(C2=C(C(=O)OCc2ccc(cc2)[N+](=O)[O-])c2n1c(cc2C)/C=C/c1ccc(OCCOCCOCCOC)cc1)C)/C=C/c1ccc(OCCOCCOCCOC)cc1)(F)F,BE,,-1.053917697
[B-]1([N+]2=C(C=C(C2=C(C(=O)Cc2cc(c(cc2)[N+](=O)[O-])[N+](=O)[O-])c2n1c(cc2C)/C=C/c1ccc(OCCOCCOCCOC)cc1)C)/C=C/c1ccc(OCCOCCOCCOC)cc1)(F)F,BE_23NO2,,-1.302804192
[B-]1([N+]2=C(C=C(C2=C(C(=O)Cc2c([N+](=O)[O-])cc(cc2)[N+](=O)[O-])c2n1c(cc2C)/C=C/c1ccc(OCCOCCOCCOC)cc1)C)/C=C/c1ccc(OCCOCCOCCOC)cc1)(F)F,BE_24NO2,,-1.36504074
[B-]1([N+]2=C(C(=C(C2=C(C(=O)Cc2c([N+](=O)[O-])cc(cc2)[N+](=O)[O-])c2n1c(c(c2C)Br)/C=C/c1ccc(OCCOCCOCCOC)cc1)C)Br)/C=C/c1ccc(OCCOCCOCCOC)cc1)(F)F,BE_Br,,-1.163258521
[B-]1([N+]2=C(C=C(C2=C(C(=O)Cc2ccc(cc2)C=O)c2n1c(cc2C)/C=C/c1ccc(OCCOCCOCCOC)cc1)C)/C=C/c1ccc(OCCOCCOCCOC)cc1)(F)F,BE_CHO,,-1.285455029
[B-]1([N+]2=C(C(=C(C2=C(C(=O)Cc2c([N+](=O)[O-])cc(cc2)[N+](=O)[O-])c2n1c(c(c2C)Cl)/C=C/c1ccc(OCCOCCOCCOC)cc1)C)Cl)/C=C/c1ccc(OCCOCCOCCOC)cc1)(F)F,BE_Cl,,-1.080678496
[B-]1([N+]2=C(C=C(C2=C(C(=O)Cc2ccc(cc2)C#N)c2n1c(cc2C)/C=C/c1ccc(OCCOCCOCCOC)cc1)C)/C=C/c1ccc(OCCOCCOCCOC)cc1)(F)F,BE_CN,,-1.196103202
[B-]1([N+]2=C(C=C(C2=C(C(=O)Cc2ccc(cc2)[N+](=O)[O-])c2n1c(cc2C)/C=C/c1ccc(OCCOCCOCCOC)cc1)C)/C=C/c1ccc(OCCOCCOCCOC)cc1)(F)F,BE_CO,,-1.153498067
[B-]1([N+]2=C(C(=C(C2=C(C(=O)Cc2c([N+](=O)[O-])cc(cc2)[N+](=O)[O-])c2n1c(c(c2C)F)/C=C/c1ccc(OCCOCCOCCOC)cc1)C)F)/C=C/c1ccc(OCCOCCOCCOC)cc1)(F)F,BE_F,,-1.150910782
[B-]1([N+]2=C(C(=C(C2=C(C(=O)Cc2c([N+](=O)[O-])cc(cc2)[N+](=O)[O-])c2n1c(c(c2C)I)/C=C/c1ccc(OCCOCCOCCOC)cc1)C)I)/C=C/c1ccc(OCCOCCOCCOC)cc1)(F)F,BE_I,,-1.202595561
[B-]1([N+]2=C(C=C(C2=C(C(=O)Cc2ccc(cc2)N=[N+]=[N-])c2n1c(cc2C)/C=C/c1ccc(OCCOCCOCCOC)cc1)C)/C=C/c1ccc(OCCOCCOCCOC)cc1)(F)F,BE_N3,,-1.380739264
[B-]1([N+]2=C(C=C(C2=C(C(=O)Cc2c([N+](=O)[O-])cc(cc2)[N+](=O)[O-])c2n1c(cc2C)/C=C/c1ccc(OC)cc1)C)/C=C/c1ccc(OC)cc1)(F)F,BE_OMe,,-1.913549873
[B-]1([N+]2=C(C=C(C2=C(C(=O)Cc2c([N+](=O)[O-])cc(cc2)[N+](=O)[O-])c2n1c(cc2C)CCc1ccc(OCCOCCOCCOC)cc1)C)CCc1ccc(OCCOCCOCCOC)cc1)(F)F,BE_sin,,-1.208729561
[B-]1([N+]2=C(C=C(C2=C(C(=O)Cc2c([N+](=O)[O-])cc(cc2)[N+](=O)[O-])c2n1c(cc2C)/C=C/c1ccc(S(=O)(=O)O)cc1)C)/C=C/c1ccc(S(=O)(=O)O)cc1)(F)F,BE_SO3H,,-1.019608256
[B-]1([N+]2=C(C(=C(C2=C(C(=O)OCc2ccc(cc2)[N+](=O)[O-])c2n1c(c(c2C)I)/C=C/c1ccc(OCCOCCOCCOC)cc1)C)I)/C=C/c1ccc(OCCOCCOCCOC)cc1)(F)F,BE_I_i,,-1.214374827
[B-]1([N+]2=C(C=C(C2=C(C(=O)OCc2ccc(cc2)[N+](=O)[O-])c2n1c(cc2C)/C=C/c1ccc(S(=O)(=O)O)cc1)C)/C=C/c1ccc(S(=O)(=O)O)cc1)(F)F,BE_SO3H_i,,-1.090058792
[B-]1([N+]2=C(C(=C(C2=C(C(=O)OCc2ccc(cc2)[N+](=O)[O-])c2n1c(c(c2C)Cl)/C=C/c1ccc(OCCOCCOCCOC)cc1)C)Cl)/C=C/c1ccc(OCCOCCOCCOC)cc1)(F)F,BE_Cl_i,,-1.048689595
[B-]1([N+]2=C(C(=C(C2=C(C(=O)OCc2ccc(cc2)[N+](=O)[O-])c2n1c(c(c2C)F)/C=C/c1ccc(OCCOCCOCCOC)cc1)C)F)/C=C/c1ccc(OCCOCCOCCOC)cc1)(F)F,BE_F_i,,-1.095717946
[B-]1([N+]2=C(C(=C(C2=C(C(=O)OCc2ccc(cc2)[N+](=O)[O-])c2n1c(c(c2C)Br)/C=C/c1ccc(OCCOCCOCCOC)cc1)C)Br)/C=C/c1ccc(OCCOCCOCCOC)cc1)(F)F,BE_Br_i,,-1.160510976
COC1=CC2=C(C=C1)C=C1CCCC(/C=C/C3=[N+]4C(=C(C5=CC=C(N(=O)=O)C=C5)C5=C(C)C=C(C)N5[B-]4(F)F)C(C)=C3)=C1O2,BNO,,-1.921705131
CC1=CC(/C=C/C2=C3OC4=C(C=CC(C#N)=C4)C=C3CCC2)=[N+]2C1=C(C1=CC=C(N(=O)=O)C=C1)C1=C(C)C=C(C)N1[B-]2(F)F,BNO_CN,,-1.580412049
CC1=CC(/C=C/C2=C3OC4=C(C=CC(C=O)=C4)C=C3CCC2)=[N+]2C1=C(C1=CC=C(N(=O)=O)C=C1)C1=C(C)C=C(C)N1[B-]2(F)F,BNO_CO,,-1.629905724
CC1=CC(/C=C/C2=C3OC4=C(C=CC(N=[N+]=[N-])=C4)C=C3CCC2)=[N+]2C1=C(C1=CC=C(N(=O)=O)C=C1)C1=C(C)C=C(C)N1[B-]2(F)F,BNO_N3,,-1.599874176
C=N(=O)C1=CC=C(C2=C3C(C)=CC(/C=C/C4=C5OC6=C(C=CC(N(=O)=O)=C6)C=C5CCC4)=[N+]3[B-](F)(F)N3C(C)=CC(C)=C23)C=C1,BNO_NO2,,-1.466686662
CC1=CC(/C=C/C2=CC=CC=C2)=[N+]2C1=C(C1=CC=C(N(=O)=O)C=C1)C1=C(C)C=C(/C=C/C3=CC=CC=C3)N1[B-]2(F)F,BNP,,-1.788532607
CC1=CC(/C=C/C2=CC=C(N(=O)=O)C(N(=O)=O)=C2)=[N+]2C1=C(C1=CC=C(N(=O)=O)C=C1)C1=C(C)C=C(/C=C/C3=CC=CC=C3)N1[B-]2(F)F,BNP_23NO2,,-1.139347851
CC1=CC(/C=C/C2=CC=C(N(=O)=O)C(N(=O)=O)=C2)=[N+]2C1=C(C1=CC=C(N(=O)=O)C=C1)C1=C(C)C=C(/C=C/C3=CC(N(=O)=O)=C(N(=O)=O)C=C3)N1[B-]2(F)F,BNP_23NO2_23NO2,,-1.10929995
