Name,Smiles_Pattern,Smarts_Pattern,Sigma_m,Sigma_p,F,R,Category
Hydrogen,[H],[#1],0.00,0.00,0.00,0.00,fundamental
Methyl,*C,[CX4H3],-0.07,-0.17,0.01,-0.18,alkyl
Ethyl,*CC,[CX4H2][CX4H3],-0.07,-0.15,0.00,-0.15,alkyl
Isopropyl,*C(C)C,[CX4H]([CX4])([CX4]),-0.04,-0.15,0.04,-0.19,alkyl
tert-Butyl,*C(C)(C)C,[CX4]([CX4])([CX4])([CX4]),-0.10,-0.20,-0.02,-0.18,alkyl
Fluorine,*F,[FX1],0.34,0.06,0.45,-0.39,halogen
Chlorine,*Cl,[ClX1],0.37,0.23,0.42,-0.19,halogen
Bromine,*Br,[BrX1],0.39,0.23,0.45,-0.22,halogen
Iodine,*I,[IX1],0.35,0.18,0.42,-0.24,halogen
Hydroxyl,*O,[OX2H1],0.12,-0.37,0.33,-0.70,oxygen
Methoxy,*OC,[OX2][CX4H3],0.12,-0.27,0.29,-0.56,oxygen
Ethoxy,*OCC,[OX2][CX4H2][CX4],0.10,-0.24,0.26,-0.50,oxygen
Phenoxy,*Oc1ccccc1,[OX2]c1ccccc1,0.25,-0.03,0.37,-0.40,oxygen
Acetoxy,*OC(=O)C,[OX2][CX3](=[OX1])[CX4],0.39,0.31,0.42,-0.11,oxygen
Amino,*N,[NX3H2],-0.16,-0.66,0.08,-0.74,nitrogen
Dimethylamino,*N(C)C,[NX3]([CX4])([CX4]),-0.16,-0.83,0.15,-0.98,nitrogen
Diethylamino,*N(CC)CC,[NX3]([CX4][CX4])([CX4][CX4]),-0.23,-0.72,0.01,-0.73,nitrogen
Nitro,*[N+](=O)[O-],[$([NX3](=O)=O)],0.71,0.78,0.65,0.13,nitrogen
Azido,*[N-][N+]#N,[$([NX1]=[NX2+]=[NX1-])],0.37,0.08,0.48,-0.40,nitrogen
Cyano,*C#N,[CX2]#[NX1],0.56,0.66,0.51,0.15,nitrogen
Isocyano,*[N+]#[C-],[NX2]#[CX1],0.48,0.49,0.47,0.02,nitrogen
Amide,*C(=O)N,[CX3](=[OX1])[NX3],0.28,0.36,0.26,0.10,nitrogen
Formyl,*C=O,[CX3H1]=[OX1],0.35,0.42,0.33,0.09,carbonyl
Acetyl,*C(=O)C,[CX3](=[OX1])[CX4],0.38,0.50,0.33,0.17,carbonyl
Carboxylic,*C(=O)O,[CX3](=[OX1])[OX2H1],0.37,0.45,0.34,0.11,carbonyl
Ester,*C(=O)OC,[CX3](=[OX1])[OX2][CX4],0.37,0.45,0.34,0.11,carbonyl
Carboxylate,*C(=O)[O-],[CX3](=[OX1])[OX1-],-0.10,0.00,-0.10,0.10,carbonyl
Thiol,*S,[SX2H1],0.25,0.15,0.30,-0.15,sulfur
