substituent,Name,Smiles_Pattern,Smarts_Pattern,Sigma_m,Sigma_P,F_b,R_c
BF2,0.32,0.48,0.26,0.22
Br,0.39,0.23,0.45,-0.22
GeBr3,0.66,0.73,0.61,0.12
SiBr3,0.48,0.57,0.44,0.13
Cl,0.37,0.23,0.42,-0.19
HgCl,0.33,0.35,0.33,0.02
S02Cl,1.2,1.11,1.16,(-0.05)
SCl,0.44,0.48,0.42,0.06
ICl2,1.1,1.11,1.03,0.08
P(O)Cl2,0.78,0.9,0.7,0.2
PCl2,0.54,0.61,0.5,0.11
P(S)Cl2,0.7,0.8,0.63,0.17
GeCl3,0.71,0.79,0.65,0.14
SiCl3,0.48,0.56,0.44,0.12
F,0.34,0.06,0.45,-0.39
HgF,0.34,0.33,0.35,-0.02
SOF,0.74,0.83,0.67,0.16
SO2F,0.8,0.91,0.72,0.19
IF2,0.85,0.83,0.82,0.01
POF2,0.81,0.89,0.74,0.15
PF2,0.49,0.59,0.44,0.15
GeF3,0.85,0.97,0.76,0.21
SF3,0.7,0.8,0.63,0.17
SiF3,0.54,0.69,0.47,0.22
IF4,1.07,1.15,0.98,0.17
PF4,0.63,0.8,0.54,0.26
SF5,0.61,0.68,0.56,0.12
I,0.35,0.18,0.42,-0.24
IO,0.58,0.62,0.55,0.07
I02,0.68,0.78,0.61,0.17
NO,0.62,0.91,0.49,0.42
NO2,0.71,0.78,0.65,0.13
ONO2,0.55,0.7,0.48,0.22
N=N+,1.76,1.91,1.58,0.33
N=N+(BF4)-,1.65,1.79,1.48,0.31
NNO2-,0,-0.43,0.2,-0.63
N3,0.37,0.08,0.48,-0.4
O-,-0.47,(-0.81),-0.26,(-0.55)
SO2-,-0.02,-0.05,0.03,-0.08
S03-,0.3,0.35,0.29,0.06
S-,-0.36,-1.21,0.03,-1.24
As03H-,0,-0.02,0.04,-0.06
H,0,0,0.03,0
NHNO2,0.91,0.57,0.99,-0.42
OH,0.12,-0.37,0.33,-0.7
S(0)0H,-0.04,-0.07,0.01,-0.08
PO3H-,0.2,0.26,0.19,0.07
OPO3H-,0.29,0,0.41,-0.41
SH,0.25,0.15,0.3,-0.15
B(OH)2,-0.01,0.12,-0.03,0.15
NH2,-0.16,-0.66,0.08,-0.74
NHOH,-0.04,-0.34,0.11,-0.45
SO2NH2,0.53,0.6,0.49,0.11
PO(OH)2,0.36,0.42,0.34,0.08
PH2,0.06,0.05,0.09,-0.04
B(OH)3-,-0.48,-0.44,-0.42,-0.02
GeH3,0.00,0.01,0.03,-0.02
NH3+,0.86,0.60,0.92,-0.32
NHNH2,-0.02,-0.55,0.22,-0.77
SiH3,0.05,0.10,0.06,0.04
CBr3,0.28,0.29,0.28,0.01
CClF2,0.42,0.46,0.40,0.06
5-chloro-1-tetrazolyl,0.60,0.61,0.58,0.03
COCl,0.51,0.61,0.46,0.15
N=CCl2,0.21,0.13,0.26,-0.13
CCl3,0.40,0.46,0.38,0.09
0CCl3,0.43,0.35,0.46,-0.11
COF,0.55,0.70,0.48,0.22
0CF20,0.36,0.36,0.36,0.00
CF3,0.43,0.54,0.38,0.16
HgCF3,0.29,0.32,0.29,0.03
HgSCF3,0.39,0.42,0.38,0.04
I=NSO2CF3,1.30,1.35,1.20,0.15
N=NCF3,0.56,0.68,0.50,0.18
OCF3,0.38,0.35,0.39,-0.Q4
SOCF3,0.63,0.69,0.58,0.11
SeOCF3,0.81,0.83,0.76,0.07
SO2CF3,0.83,0.96,0.74,0.22
Se02CF3,1.08,1.21,0.97,0.24
OSO2CF3,0.56,0.53,0.56,-0.03
SCF3,0.40,0.50,0.36,0.14
SeCF3,0.44,0.45,0.43,0.02
HgCN,0.28,0.34,0.27,0.08
CN,0.56,0.66,0.51,0.15
NC,0.48,0.49,0.47,0.02
CN(BBr3),0.61,0.48,0.64,-0.16
CN(BCl3),0.95,0.86,(0.93),(-0.05)
CN(BF3),0.72,0.66,(0.71),(-0.05)
N=C=0,0.27,0.19,0.31,-0.12
OCN,0.67,0.54,0.69,-0.15
SO2CN,1.10,1.26,0.97,0.29
N=C=S,0.48,0.38,0.51,-0.13
SCN,0.51,0.52,0.49,0.03
SeCN,0.61,0.66,0.57,0.09
N=NCN,0.71,1.03,0.56,0.47
N(0)=NCN,0.78,0.89,0.70,0.19
C(N02)3,0.72,0.82,0.65,0.17
5-azido-1-tetrazolyl,0.54,0.54,0.53,0.01
co2-,-0.10,0.00,-0.10,0.10
CHBr2,0.31,0.32,0.31,0.01
CHCl2,0.31,0.32,0.31,0.01
ochci2,0.38,0.26,0.43,-0.17
chf2,0.29,0.32,0.29,0.03
OCHF2,0.31,0.18,0.37,-0.19
SOchf2,0.54,0.58,0.51,0.07
SO2chf2,0.75,0.86,0.67,0.19
schf2,0.33,0.37,0.32,0.05
S(0)(=NH)CF3,0.72,0.84,0.64,0.20
NHSO2CF3,0.44,0.39,0.45,-0.06
chi2,0.26,0.26,0.27,-0.01
NHCN,0.21,0.06,0.28,-0.22
l-(lif)-tetrazolyl,0.52,0.50,0.52,-0.02
5-(lH)-tetrazolyl,0.64,0.56,0.65,-0.09
5-hydroxy-1-tetrazolyl,0.39,0.33,0.41,-0.08
5-mercapto-1-tetrazolyl,0.45,0.45,0.44,-0.01
N-sulfonyl triazene等待,0.30,0.19,0.35,-0.16
CHO,0.35,0.42,0.33,0.09
COOH,0.37,0.45,0.34,0.11
CH2Br,0.12,0.14,0.14,0.00
CH2Cl,0.11,0.12,0.13,-0.01
OCH2Cl,0.25,0.08,0.33,-0.25
ch2f,0.12,0.11,0.15,-0.04
och2f,0.20,0.02,0.29,-0.27
sch2f,0.23,0.20,0.25,-0.05
ch2i,0.10,0.11,0.12,-0.01
NHCHO,0.19,0.00,0.28,-0.28
coNH2,0.28,0.36,0.26,0.10
csNH2,0.25,0.30,0.24,0.06
CH=NOH-f,0.22,0.10,0.28,-0.18
